Language;Language dummy;Country of origin;Country of destination;Alpha-2 code (origin);Alpha-3 code (origin);Alpha-2 code (destination);Alpha-3 code (destination)
English;1;United Kingdom;United Kingdom;GB;GBR;GB;GBR
English;1;United Kingdom;United States;GB;GBR;US;USA
English;1;United Kingdom;Nigeria;GB;GBR;NG;NGA
English;1;United Kingdom;Canada;GB;GBR;CA;CAN
English;1;United Kingdom;Australia;GB;GBR;AU;AUS
English;1;United Kingdom;New Zealand;GB;GBR;NZ;NZL
English;1;United Kingdom;Ireland;GB;GBR;IE;IRL
English;1;United Kingdom;India;GB;GBR;IN;IND
English;1;United Kingdom;South Africa;GB;GBR;ZA;ZAF
English;1;United States;United Kingdom;US;USA;GB;GBR
English;1;United States;United States;US;USA;US;USA
English;1;United States;Nigeria;US;USA;NG;NGA
English;1;United States;Canada;US;USA;CA;CAN
English;1;United States;Australia;US;USA;AU;AUS
English;1;United States;New Zealand;US;USA;NZ;NZL
English;1;United States;Ireland;US;USA;IE;IRL
English;1;United States;India;US;USA;IN;IND
English;1;United States;South Africa;US;USA;ZA;ZAF
English;1;Nigeria;United Kingdom;NG;NGA;GB;GBR
English;1;Nigeria;United States;NG;NGA;US;USA
English;1;Nigeria;Nigeria;NG;NGA;NG;NGA
English;1;Nigeria;Canada;NG;NGA;CA;CAN
English;1;Nigeria;Australia;NG;NGA;AU;AUS
English;1;Nigeria;New Zealand;NG;NGA;NZ;NZL
English;1;Nigeria;Ireland;NG;NGA;IE;IRL
English;1;Nigeria;India;NG;NGA;IN;IND
English;1;Nigeria;South Africa;NG;NGA;ZA;ZAF
English;1;Canada;United Kingdom;CA;CAN;GB;GBR
English;1;Canada;United States;CA;CAN;US;USA
English;1;Canada;Nigeria;CA;CAN;NG;NGA
English;1;Canada;Canada;CA;CAN;CA;CAN
English;1;Canada;Australia;CA;CAN;AU;AUS
English;1;Canada;New Zealand;CA;CAN;NZ;NZL
English;1;Canada;Ireland;CA;CAN;IE;IRL
English;1;Canada;India;CA;CAN;IN;IND
English;1;Canada;South Africa;CA;CAN;ZA;ZAF
English;1;Australia;United Kingdom;AU;AUS;GB;GBR
English;1;Australia;United States;AU;AUS;US;USA
English;1;Australia;Nigeria;AU;AUS;NG;NGA
English;1;Australia;Canada;AU;AUS;CA;CAN
English;1;Australia;Australia;AU;AUS;AU;AUS
English;1;Australia;New Zealand;AU;AUS;NZ;NZL
English;1;Australia;Ireland;AU;AUS;IE;IRL
English;1;Australia;India;AU;AUS;IN;IND
English;1;Australia;South Africa;AU;AUS;ZA;ZAF
English;1;New Zealand;United Kingdom;NZ;NZL;GB;GBR
English;1;New Zealand;United States;NZ;NZL;US;USA
English;1;New Zealand;Nigeria;NZ;NZL;NG;NGA
English;1;New Zealand;Canada;NZ;NZL;CA;CAN
English;1;New Zealand;Australia;NZ;NZL;AU;AUS
English;1;New Zealand;New Zealand;NZ;NZL;NZ;NZL
English;1;New Zealand;Ireland;NZ;NZL;IE;IRL
English;1;New Zealand;India;NZ;NZL;IN;IND
English;1;New Zealand;South Africa;NZ;NZL;ZA;ZAF
English;1;Ireland;United Kingdom;IE;IRL;GB;GBR
English;1;Ireland;United States;IE;IRL;US;USA
